original_sim_idx,node_count,edge_count,degree_mean,degree_std,edge_len_mean,edge_len_std,stiffness_mean,stiffness_std,node_stiffness_mean,node_stiffness_std,horizontal_edge_fraction,vertical_edge_fraction,diagonal_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,horizontal_edge_len,vertical_edge_len,diagonal_edge_len,angle_mean,angle_std,right_angle_fraction
46,128,367,5.734375,0.7953416620390258,2.519888531203491,3.2534207625219,0.8516810326875068,0.3758688616618708,0.8605048821329893,0.15095777964531998,0.3978201634877384,0.4032697547683924,0.1989100817438692,0.8337220694512537,0.9006183497809075,0.7883835765596938,2.798982720669002,2.7736463256784387,1.4472322949807939,87.5513010728302,47.98977148429461,0.22609673790776152
47,264,756,5.7272727272727275,0.74965556829412,2.802710681601807,4.5552289817090275,0.8586354150816247,0.4035165857608769,0.8665347794428317,0.15924098898829878,0.3941798941798942,0.3888888888888889,0.21693121693121692,0.9137153760498802,0.8614056655744307,0.7535849149997641,3.066065692561585,3.158478108190355,1.6863971652417649,88.18727313071118,48.49666684147298,0.20202850877192982
48,212,611,5.764150943396227,0.753005134068203,2.4593872524517453,4.04123382094735,0.863744339263966,0.12159979641558592,0.8715038226982654,0.08829145454123856,0.3698854337152209,0.37315875613747956,0.2569558101472995,0.8623715000869954,0.8664747868713579,0.8617552921270869,2.831930905316783,2.88292221385136,1.3080443432376643,96.29348616372975,45.58582300027622,0.13631773813530798
49,240,693,5.775,0.7687923430073084,2.8408919051612096,4.4578316774830995,0.8558670291394899,0.3945342738486216,0.8639596264513713,0.15191422408062355,0.39105339105339104,0.3953823953823954,0.21356421356421357,0.8828686080955491,0.8710808720249329,0.7782587801685205,3.255520396566919,3.087898334338717,1.6243778324207745,87.57721419088135,49.04462977289987,0.21242603550295858
50,212,610,5.754716981132075,0.8277193120393906,2.675000410197211,4.2079026423359895,0.8612220459785618,0.3027656956797269,0.8673814695361944,0.12131457594258019,0.41147540983606556,0.40327868852459015,0.18524590163934426,0.8796008150891004,0.8649408331489176,0.8123026416365025,2.920185864209179,2.9580081272416,1.5142796371890381,91.77387301050489,48.57740146217907,0.21426168853010427
51,272,786,5.779411764705882,0.7735629605786711,2.592856887225583,4.513766880064555,0.870834632570507,0.23890662012586736,0.8791983497081226,0.11541380376597804,0.4211195928753181,0.40076335877862596,0.178117048346056,0.8885334180921226,0.8988081694595398,0.7660491888012205,2.7084218970418337,2.9504685466251677,1.515001951796668,95.26358599048424,46.727724943544075,0.20609692548202188
52,160,460,5.75,0.733143914930759,2.497821477768214,3.6351394787738585,0.8545383555733639,0.2646469886320621,0.8591078378557272,0.12154890482608471,0.4152173913043478,0.40652173913043477,0.1782608695652174,0.8634448600689154,0.8691466908085155,0.8004785866999045,2.8227338391448815,2.566314759420201,1.5848153229893707,91.59481495455304,47.218188287010214,0.2244165170556553
53,124,358,5.774193548387097,0.7496096799111132,2.5895849515023177,3.448553060233336,0.8722586329589342,0.35677241179262,0.8822456621446184,0.16535370235993782,0.41899441340782123,0.4106145251396648,0.17039106145251395,0.8861125902334849,0.8896977175660685,0.7961661898698963,2.874958557685216,2.694352310226888,1.6353744160933572,88.14686385662041,48.841654626457725,0.23795871559633028
54,212,607,5.726415094339623,0.7834733847922477,2.3394932850974395,3.8655308966504682,0.8658265706145587,0.12164774342576168,0.8740419036582421,0.08782464257873393,0.3673805601317957,0.3542009884678748,0.2784184514003295,0.8592274298582376,0.8695443596950797,0.8698045808888046,2.7887986959897884,2.700767260374025,1.287013928213063,96.80110037190425,45.03843720943946,0.13531015678254943
55,268,769,5.7388059701492535,0.7719823723686567,2.4369260729211826,4.269577593425592,0.8724202511757031,0.2240678068999651,0.879908121061626,0.11194916381803081,0.4135240572171652,0.39791937581274384,0.18855656697009102,0.8969354416776754,0.8987273250529969,0.763138905064813,2.6115575370923527,2.703088373724931,1.4922469718702909,96.65330150823596,46.13946447211499,0.19736842105263158
57,128,369,5.765625,0.8147504890302306,2.485863863048838,3.394816997131569,0.8657795805433578,0.3288908505789395,0.8769335080226439,0.16044840970108112,0.3956639566395664,0.41192411924119243,0.19241192411924118,0.8953384816238324,0.8688524635998827,0.7984179216371455,2.382826518114299,2.8057137268938517,2.012994469471381,90.33444674933338,47.267181231852774,0.22876179900055524
58,284,820,5.774647887323944,0.7862763571540736,2.528045479553502,4.468030030199445,0.8712438290439001,0.25909754045939437,0.8798805120248051,0.12388873904792783,0.4,0.41341463414634144,0.18658536585365854,0.8940099721274725,0.8910148161350802,0.7786316750875486,2.7585656835538583,2.772135935613891,1.4930305023208943,95.46252071511717,46.70704368531815,0.19535348488633525
59,248,705,5.685483870967742,0.7445168977465701,2.5934546866738204,4.320214622702351,0.8689485492435753,0.31348860893661923,0.8742103237504233,0.12933207417705536,0.4099290780141844,0.4,0.1900709219858156,0.8972811084305127,0.8744253287924096,0.7963174937376335,2.918209397359703,2.7721880301304744,1.5169105505320564,92.70060217305371,47.37601197467079,0.2313167259786477
60,128,364,5.6875,0.8172935519138763,2.6220816238732128,3.4266453778966333,0.8652229901034754,0.3933112235056981,0.8693927668545041,0.14294864171304528,0.40934065934065933,0.3983516483516483,0.19230769230769232,0.8684975418868481,0.8842879137088513,0.8187612452677318,2.8016471960800606,2.91666987620551,1.629644954630307,85.77140951948705,49.002954166348886,0.19725557461406518
61,104,298,5.730769230769231,0.7368170792564621,2.706374246302067,3.2172828082188727,0.8610216283158167,0.43494146179566545,0.8697791738074014,0.17893955538458808,0.37583892617449666,0.40268456375838924,0.2214765100671141,0.8728121111967734,0.854541331032912,0.8527958948503841,3.0031622698796645,3.0311568145950636,1.612220203334635,82.45446334724346,49.84853373023774,0.18845618915159945
62,240,691,5.758333333333334,0.7905254932989546,2.6880789343941576,4.2620843315824954,0.8386063773276664,0.3668876355605941,0.8465727725829043,0.1502447690579544,0.4109985528219971,0.3791606367583213,0.2098408104196816,0.8352141709814609,0.8616563962161086,0.8036014232142218,2.993022850701507,2.8753076358378387,1.7525065757077316,87.4252767680814,48.36039534296845,0.19655069878085044
63,220,629,5.718181818181818,0.8647839265790161,2.517685099275389,4.027639533684778,0.8568417013449585,0.3107453518219913,0.8645910400942419,0.12724112274641736,0.40381558028616854,0.3942766295707472,0.20190779014308427,0.8820968364167401,0.8648914206893213,0.7906122942139783,2.7732897685972726,2.764671077771533,1.5241724325446633,92.23256683934049,47.53214213820034,0.20754098360655737
64,132,380,5.757575757575758,0.8627055057870764,2.32092486933658,3.2931795622383877,0.8616651130350013,0.12010105936442542,0.8705031774099513,0.08640680761394853,0.3763157894736842,0.3763157894736842,0.24736842105263157,0.8561360948569291,0.8644381432266502,0.8658577330569004,2.6450339397350393,2.636918106279173,1.3471522102964686,93.9139022737041,45.618943543044026,0.15024232633279483
65,212,602,5.679245283018868,0.7776011711318821,2.590394287905424,4.083713999935713,0.8671852617069732,0.3563228972548682,0.8754117993023731,0.1497913477849844,0.41029900332225916,0.4019933554817276,0.1877076411960133,0.8642002085925113,0.9029251894921311,0.7971697360013439,2.748424864370331,2.898254692431324,1.585652957975337,91.54471325397927,47.752610587573656,0.2294342242276987
66,128,364,5.6875,0.8172935519138763,2.7674922155482427,3.521430544836049,0.8476186321823151,0.3784052313006701,0.851945742435332,0.12997342374551507,0.40384615384615385,0.36538461538461536,0.23076923076923078,0.8678065905360137,0.8672071603455938,0.7812745354714847,3.050137935649781,3.1797306439034023,1.6201513604748816,83.17834933133119,49.24843744643771,0.19325328759291024
67,208,606,5.826923076923077,0.7837570720121091,2.5270030017536467,4.054747357386601,0.864303645767001,0.21574078727163162,0.8726274799384969,0.11083722116469649,0.4075907590759076,0.40594059405940597,0.18646864686468648,0.897243766649532,0.8819009482375975,0.7539926168665422,2.8873656360726607,2.6131587513094026,1.5517473816871643,94.46795606302561,47.073186457710094,0.2067581130812981
68,248,711,5.733870967741935,0.7942217835184278,2.5761586670382615,4.360024028065713,0.8654607248541004,0.2214590110557932,0.872581887434304,0.10452738785223835,0.3881856540084388,0.38396624472573837,0.22784810126582278,0.9098662036484566,0.8923852629277296,0.7444341134877852,2.9657082804951114,2.811701470242315,1.5155483053790197,94.74555217654456,46.97046927677922,0.2073170731707317
