dataset,latent_dim,hidden_size,epoch,train_dz_mse_norm,val_dz_mse_norm,val_dz_mse_raw,sweep_latent_dim,sweep_train_count,sweep_train_frames
CV1 | nets=2 | frames=2,1,128,8,0.6070433259010315,9210.122185647964,222.23677313625814,1,2,2
CV1 | nets=2 | frames=2,1,128,9,0.6079700589179993,9438.621027376175,227.7503591516018,1,2,2
CV1 | nets=2 | frames=2,1,128,10,0.6038424968719482,9302.030274944305,224.45448175138236,1,2,2
CV1 | nets=2 | frames=2,1,128,11,0.5971453785896301,8957.472054534912,216.14041743409635,1,2,2
CV1 | nets=2 | frames=2,1,128,12,0.5902188420295715,8537.4053099823,206.0043679782152,1,2,2
CV1 | nets=2 | frames=2,1,128,13,0.5846505165100098,8145.380488712311,196.5449583236575,1,2,2
CV1 | nets=2 | frames=2,1,128,14,0.5811614394187927,7852.283108016014,189.47262617111207,1,2,2
CV1 | nets=2 | frames=2,1,128,15,0.5797595977783203,7704.311873844147,185.90213883093,1,2,2
CV1 | nets=2 | frames=2,1,128,16,0.5799819231033325,7730.434475606919,186.53246959376335,1,2,2
CV1 | nets=2 | frames=5,1,128,1,0.6950660347938538,1543.2172092618941,8.674496095310896,1,2,5
CV1 | nets=2 | frames=5,1,128,2,0.6397474855184555,1629.96476816988,9.162108539509587,1,2,5
CV1 | nets=2 | frames=5,1,128,3,0.6611973643302917,1734.1134312306642,9.747532262473367,1,2,5
CV1 | nets=2 | frames=5,1,128,4,0.8071666657924652,1832.4089380352498,10.300056477774866,1,2,5
CV1 | nets=2 | frames=5,1,128,5,0.6506409645080566,1887.1639160232544,10.607837143901735,1,2,5
CV1 | nets=2 | frames=5,1,128,6,1.5487900376319885,1914.8238486049174,10.763314343249425,1,2,5
CV1 | nets=2 | frames=5,1,128,7,0.7489099204540253,1934.8998775856494,10.876163105074315,1,2,5
CV1 | nets=2 | frames=5,1,128,8,0.6924590468406677,1950.2006406741143,10.962169402578846,1,2,5
CV1 | nets=2 | frames=5,1,128,9,0.6709978580474854,1951.45748242712,10.969234020633623,1,2,5
CV1 | nets=2 | frames=5,1,128,10,0.6914936602115631,1960.9109856529235,11.022372339120135,1,2,5
CV1 | nets=2 | frames=5,1,128,11,0.5920441299676895,1976.18851682806,11.10824846797809,1,2,5
CV1 | nets=2 | frames=5,1,128,12,0.5165610834956169,1977.1368378894329,11.113579121593386,1,2,5
CV1 | nets=2 | frames=5,1,128,13,0.8512434363365173,1961.9250673179627,11.028072866352275,1,2,5
CV1 | nets=2 | frames=5,1,128,14,0.8859724998474121,1958.3180437436104,11.007797827463596,1,2,5
