case,case_short,dataset,sim_idx,epoch,train_dz_mse_norm,train_dz_mse_raw
low final p-ratio,low_p,low_p CV2 sim-61,61,249,0.19239389577082225,1.3512189107294553e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,250,0.1936510278444205,1.3606378895961565e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,251,0.17519262173612202,1.2287538727459183e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,252,0.16738749401909964,1.177891332661472e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,253,0.1889180652797222,1.324834116189777e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,254,0.1888590439089707,1.3276019785735116e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,255,0.17268840037286282,1.220741426420448e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,256,0.15452096784221275,1.097504314730356e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,257,0.20021674010370458,1.4466150700189116e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,258,0.17112268214779242,1.1989648496881143e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,259,0.15302961798650877,1.0805949597982232e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,260,0.15843854977616242,1.1141589761263861e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,261,0.2665536440908909,1.8868881842390043e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,262,0.17699207658214228,1.2434452928898411e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,263,0.16236231635723794,1.1525787415272198e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,264,0.14538788276591472,1.0233099771994603e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,265,0.2201710766447442,1.5759528630659197e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,266,0.16700955560164793,1.173450907491055e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,267,0.15603599005511828,1.0928308751902347e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,268,0.20009742610688722,1.421047154995644e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,269,0.1973886058798858,1.3988873145568244e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,270,0.15857035746531828,1.111344344297192e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,271,0.17718095279165677,1.2576704660562297e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,272,0.1731706956135375,1.21625246306069e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,273,0.26685090363025665,1.9220735408355594e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,274,0.192543278980468,1.355277807947784e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,275,0.18128543373729503,1.2701285468454313e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,276,0.2535991172439286,1.7949515296322716e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,277,0.2469612273520657,1.76960919467157e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,278,0.16523878595658711,1.1857387488386654e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,279,0.14410727071974958,1.0064585000333994e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,280,0.17540214184139455,1.256773274909457e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,281,0.1520506225393287,1.072820760989706e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,282,0.16323267429002694,1.157907650143183e-06
low final p-ratio,low_p,low_p CV2 sim-61,61,283,0.14622286733772075,1.0272591128211519e-06
