dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse,case,case_short,train_original_sim_idx,original_sim_idx
low_p CV2 sim-61,other_trajectories,94,100,100,-0.4716931242368009,-0.3059106795232295,0.0002796629269141704,0.00041334106936119497,0.0008865108247846365,2.1447441120591035,low final p-ratio,low_p,61,95
low_p CV2 sim-61,other_trajectories,95,100,100,-0.4383594079610129,0.17800934744930538,0.0004313841345719993,0.00043257439392618835,0.0009866690961644053,2.2809234897356503,low final p-ratio,low_p,61,96
low_p CV2 sim-61,other_trajectories,96,100,100,-0.4413364469714551,0.34862580631426565,0.0007711055804975331,0.00046297413064166903,0.001390189747326076,3.0027374216337153,low final p-ratio,low_p,61,97
low_p CV2 sim-61,other_trajectories,97,100,100,-0.45914449480251235,0.18853415244985766,0.00048028206219896674,0.00041489710565656424,0.0010525957914069295,2.5370044212316767,low final p-ratio,low_p,61,98
low_p CV2 sim-61,other_trajectories,98,100,100,-0.452780222047264,0.045422733467693134,0.00038914347533136606,0.00043939982424490154,0.001072134473361075,2.439997501600082,low final p-ratio,low_p,61,99
high_p CV2 sim-56,other_trajectories,0,100,100,0.40898625514811693,-0.46487262289199854,0.00038362308987416327,0.0005195323610678315,0.0006455100374296308,1.2424828284091263,high final p-ratio,high_p,56,0
high_p CV2 sim-56,other_trajectories,1,100,100,0.3856949631331993,-0.19957046441556248,0.00023872972815297544,0.0006169537082314491,0.00043521029874682426,0.7054180774670956,high final p-ratio,high_p,56,1
high_p CV2 sim-56,other_trajectories,2,100,100,0.39969181997968367,0.12766566406128035,8.128525951178744e-05,0.00046259252121672034,0.0006699160439893603,1.4481774202214368,high final p-ratio,high_p,56,2
high_p CV2 sim-56,other_trajectories,3,100,100,0.3657242152255197,-0.4393669157226641,0.0003855101822409779,0.0005288817919790745,0.000664450868498534,1.2563315254476057,high final p-ratio,high_p,56,3
high_p CV2 sim-56,other_trajectories,4,100,100,0.4191270954877779,0.13062472932005198,7.899677439127117e-05,0.0004207755846437067,0.000644977146293968,1.5328293033924598,high final p-ratio,high_p,56,4
high_p CV2 sim-56,other_trajectories,5,100,100,0.3956506249298449,0.03172989080784792,0.00012358612730167806,0.00042226456571370363,0.0006562367780134082,1.55408914528324,high final p-ratio,high_p,56,5
high_p CV2 sim-56,other_trajectories,6,100,100,0.4246799326346081,0.36276686227205374,1.8737116988631897e-05,0.00046289130114018917,0.0004934657481499016,1.0660510295492738,high final p-ratio,high_p,56,6
high_p CV2 sim-56,other_trajectories,7,100,100,0.4057520518527961,-0.38222767165720184,0.00043370630010031164,0.0006158828618936241,0.0006586553063243628,1.069448992782862,high final p-ratio,high_p,56,7
high_p CV2 sim-56,other_trajectories,8,100,100,0.4027765581918126,-0.37734224918907006,0.00046217971248552203,0.00047156173968687654,0.0008428983855992556,1.787461353753915,high final p-ratio,high_p,56,8
high_p CV2 sim-56,other_trajectories,9,100,100,0.41258380914023074,0.1676109193729469,4.411774352774955e-05,0.00044654603698290884,0.0004350334929767996,0.9742186850791604,high final p-ratio,high_p,56,9
high_p CV2 sim-56,other_trajectories,10,100,100,0.3965037007086941,-0.45031916445102593,0.00041637272806838155,0.0005420530796982348,0.0004963074461556971,0.91560672698695,high final p-ratio,high_p,56,10
high_p CV2 sim-56,other_trajectories,11,100,100,0.39378144165484247,-0.07971978547374547,0.0001589354214956984,0.0005165072507224977,0.00042173665133304894,0.8165164201337304,high final p-ratio,high_p,56,11
