latent_dim,repeat,seed,train_networks,train_frames_per_network,epoch,train_mse_norm,val_mse_norm
2,1,1588911343,1,2,26,0.3789559006690979,52.66806998619666
2,1,1588911343,1,2,27,0.3763916790485382,51.52825047419621
2,1,1588911343,1,2,28,0.3622036576271057,51.49886850210336
2,1,1588911343,1,2,29,0.3523332178592682,51.16217041015625
2,1,1588911343,1,2,30,0.3542521297931671,48.441352110642654
2,1,1588911343,1,2,31,0.3521156907081604,49.19729849008414
2,1,1588911343,1,2,32,0.3494569957256317,51.660548576941856
2,1,1588911343,1,2,33,0.3509625196456909,50.525747739351715
2,1,1588911343,1,2,34,0.3433273136615753,50.78740178621732
2,1,1588911343,1,2,35,0.34330275654792786,53.08070813692533
2,1,1588911343,1,2,36,0.34304648637771606,53.01686037503756
2,1,1588911343,1,2,37,0.33794325590133667,52.12237079326923
2,1,1588911343,1,2,38,0.33466124534606934,52.99488698519193
2,1,1588911545,1,4,1,1.0024971961975098,1.1083483833533068
2,1,1588911545,1,4,2,0.9526890516281128,1.0810445638803334
2,1,1588911545,1,4,3,0.9024694561958313,1.051171023112077
2,1,1588911545,1,4,4,0.8474041223526001,1.0162223760898297
2,1,1588911545,1,4,5,0.7823666930198669,0.9724559692236093
2,1,1588911545,1,4,6,0.6996198296546936,0.9147493380766648
2,1,1588911545,1,4,7,0.5869140625,0.8492668775411752
2,1,1588911545,1,4,8,0.43642717599868774,0.8751930686143728
2,1,1588911545,1,4,9,0.31358015537261963,1.1907883011377776
2,1,1588911545,1,4,10,0.37217602133750916,1.4566792341379018
2,1,1588911545,1,4,11,0.4107619822025299,1.476766485434312
2,1,1588911545,1,4,12,0.33904314041137695,1.3256118205877452
2,1,1588911545,1,4,13,0.24375924468040466,1.1463706034880419
2,1,1588911545,1,4,14,0.19488216936588287,1.050967743763557
2,1,1588911545,1,4,15,0.19636690616607666,1.0241693900181696
2,1,1588911545,1,4,16,0.2011154294013977,1.0408909091582665
2,1,1588911545,1,4,17,0.18939663469791412,1.1069770684609046
2,1,1588911545,1,4,18,0.16566058993339539,1.2364937433829675
2,1,1588911545,1,4,19,0.15070056915283203,1.3539176629139826
2,1,1588911545,1,4,20,0.15412405133247375,1.3038618197807899
2,1,1588911545,1,4,21,0.1434525102376938,1.1821133677776043
2,1,1588911545,1,4,22,0.13084225356578827,1.1093845000633826
2,1,1588911545,1,4,23,0.12981508672237396,1.1057562415416424
2,1,1588911545,1,4,24,0.12615881860256195,1.162486901650062
2,1,1588911545,1,4,25,0.11515326797962189,1.2639820392315204
2,1,1588911545,1,4,26,0.1090243011713028,1.3286752838354845
2,1,1588911545,1,4,27,0.11139854043722153,1.2604660437657282
2,1,1588911545,1,4,28,0.1034066453576088,1.131943743962508
2,1,1588911545,1,4,29,0.092640221118927,1.0347781089635997
2,1,1588911545,1,4,30,0.089175745844841,0.9841845012628115
2,1,1588911545,1,4,31,0.08683788031339645,0.9695208645783938
2,1,1588911545,1,4,32,0.0821927934885025,0.9815949086959546
4,1,1588927080,1,1,1,0.0027508919592946768,2424854.8846153845
4,1,1588927080,1,1,2,0.0004840876499656588,2424355.5576923075
4,1,1588927080,1,1,3,0.0002089754561893642,2424127.5865384615
4,1,1588927080,1,1,4,0.0007352913380600512,2424468.2884615385
4,1,1588927080,1,1,5,0.0004932762240059674,2424928.173076923
4,1,1588927080,1,1,6,0.0001501784281572327,2425043.1826923075
4,1,1588927080,1,1,7,3.580600969144143e-05,2424907.355769231
4,1,1588927080,1,1,8,9.420265996595845e-05,2425005.6346153845
4,1,1588927080,1,1,9,0.00018630365957506,2425242.673076923
4,1,1588927080,1,1,10,0.00022136577172204852,2425412.596153846
4,1,1588927080,1,1,11,0.00018382158305030316,2425488.096153846
4,1,1588927080,1,1,12,0.00010601047688396648,2425547.346153846
4,1,1588927080,1,1,13,3.6632463888963684e-05,2425598.0865384615
4,1,1588927080,1,1,14,1.7092062989831902e-05,2425639.7596153845
4,1,1588927080,1,1,15,5.148801574250683e-05,2425726.855769231
4,1,1588927080,1,1,16,8.578419510740787e-05,2425873.6346153845
4,1,1588927080,1,1,17,7.905524398665875e-05,2425895.5865384615
4,1,1588927080,1,1,18,4.5785065594827756e-05,2425776.528846154
4,1,1588927080,1,1,19,1.7026422938215546e-05,2425536.4423076925
4,1,1588927080,1,1,20,8.336385690199677e-06,2425205.028846154
4,1,1588927080,1,1,21,1.638214962440543e-05,2424848.423076923
4,1,1588927080,1,1,22,2.8332868168945424e-05,2424504.519230769
4,1,1588927080,1,1,23,3.3328258723486215e-05,2424145.2403846155
4,1,1588927080,1,1,24,2.8292848583078012e-05,2423766.519230769
4,1,1588927080,1,1,25,1.733946737658698e-05,2423375.3365384615
4,1,1588927080,1,1,26,7.465183898602845e-06,2423048.4134615385
4,1,1588927080,1,1,27,3.7988183976267464e-06,2422810.375
4,1,1588927080,1,1,28,6.757980372640304e-06,2422649.8173076925
4,1,1588927080,1,1,29,1.2403200344124343e-05,2422540.6923076925
4,1,1588927080,1,1,30,1.575094211148098e-05,2422455.0673076925
4,1,1588927080,1,1,31,1.4473419469140936e-05,2422386.6153846155
4,1,1588927080,1,1,32,9.94988477032166e-06,2422334.721153846
4,1,1588927080,1,1,33,5.3523367569141556e-06,2422295.8846153845
4,1,1588927080,1,1,34,3.036959014934837e-06,2422269.0865384615
4,1,1588927080,1,1,35,3.336891040817136e-06,2422253.1634615385
4,1,1588927080,1,1,36,5.041394160798518e-06,2422246.3173076925
4,1,1588927080,1,1,37,6.582680725841783e-06,2422245.173076923
4,1,1588927080,1,1,38,6.961090548429638e-06,2422246.4615384615
4,1,1588927080,1,1,39,6.049763669579988e-06,2422248.019230769
4,1,1588927080,1,1,40,4.389806235849392e-06,2422250.5673076925
4,1,1588927080,1,1,41,2.766117177088745e-06,2422253.2596153845
4,1,1588927080,1,1,42,1.8236103187518893e-06,2422256.971153846
4,1,1588927080,1,1,43,1.8214334431831958e-06,2422263.125
4,1,1588927080,1,1,44,2.525348463677801e-06,2422270.6826923075
4,1,1588927080,1,1,45,3.308481154817855e-06,2422277.644230769
4,1,1588927080,1,1,46,3.5292919164930936e-06,2422283.2884615385
4,1,1588927080,1,1,47,2.9858993002562784e-06,2422286.1634615385
4,1,1588927080,1,1,48,2.042223059106618e-06,2422287.0096153845
4,1,1588927080,1,1,49,1.2943231695317081e-06,2422286.8365384615
4,1,1588927080,1,1,50,1.1063601732530515e-06,2422285.9615384615
4,1,1588927080,1,1,51,1.4086673445490305e-06,2422285.5673076925
4,1,1588927080,1,1,52,1.834919316934247e-06,2422285.1826923075
4,1,1588927080,1,1,53,2.0164204670436447e-06,2422285.096153846
4,1,1588927080,1,1,54,1.8166666677643661e-06,2422285.019230769
4,1,1588927080,1,1,55,1.3748317542194854e-06,2422284.471153846
4,1,1588927080,1,1,56,9.617014029572601e-07,2422283.25
4,1,1588927080,1,1,57,7.803551511642581e-07,2422281.0384615385
4,1,1588927080,1,1,58,8.561472100154788e-07,2422278.528846154
4,1,1588927080,1,1,59,1.056422661349643e-06,2422276.4326923075
4,1,1588927080,1,1,60,1.1940215927097597e-06,2422275.4903846155
4,1,1588927080,1,1,61,1.1510179547258304e-06,2422275.9423076925
4,1,1588927080,1,1,62,9.515993042441551e-07,2422277.875
4,1,1588927181,1,2,1,0.9970541000366211,38.73341589707594
4,1,1588927181,1,2,2,0.9711446762084961,38.67086219787598
4,1,1588927181,1,2,3,0.9451994299888611,38.59053024878869
4,1,1588927181,1,2,4,0.9165696501731873,38.466822991004356
4,1,1588927181,1,2,5,0.8822256326675415,38.23555484184852
4,1,1588927181,1,2,6,0.8375271558761597,37.7602564738347
4,1,1588927181,1,2,7,0.7746041417121887,36.89671259659987
4,1,1588927181,1,2,8,0.6865552663803101,35.809190823481636
4,1,1588927181,1,2,9,0.6184960603713989,35.465101095346306
4,1,1588927181,1,2,10,0.6308211088180542,35.60651786510761
4,1,1588927181,1,2,11,0.6086587905883789,35.74418896895189
4,1,1588927181,1,2,12,0.573733925819397,35.84569006699782
4,1,1588927181,1,2,13,0.5543307065963745,35.84210645235502
4,1,1588927181,1,2,14,0.5309487581253052,35.965024067805366
4,1,1588927181,1,2,15,0.5092670917510986,36.42469178713285
4,1,1588927181,1,2,16,0.5045574307441711,36.57863191457895
4,1,1588927181,1,2,17,0.47897863388061523,36.500034699073204
4,1,1588927181,1,2,18,0.4559001922607422,36.73439928201529
4,1,1588927181,1,2,19,0.44572556018829346,37.702030842120834
4,1,1588927181,1,2,20,0.4386666417121887,39.15232577690711
4,1,1588927181,1,2,21,0.43677306175231934,39.277836506183334
4,1,1588927181,1,2,22,0.41399574279785156,38.94926254565899
4,1,1588927181,1,2,23,0.39768099784851074,39.45402658902682
4,1,1588927181,1,2,24,0.38271579146385193,40.93252270038311
4,1,1588927181,1,2,25,0.3795127272605896,41.333249018742485
4,1,1588927181,1,2,26,0.3742511570453644,40.71881206219013
4,1,1588927181,1,2,27,0.35790136456489563,41.923927600567154
4,1,1588927181,1,2,28,0.34545332193374634,43.90065119816707
4,1,1588927181,1,2,29,0.3383314907550812,43.486127853393555
4,1,1588927181,1,2,30,0.32641837000846863,43.39105297968938
4,1,1588927181,1,2,31,0.3255636394023895,44.13999733558068
4,1,1588927181,1,2,32,0.3146805763244629,45.08881774315467
4,1,1588927181,1,2,33,0.3106773793697357,44.83846165583684
4,1,1588927181,1,2,34,0.3088632822036743,45.69845566382775
4,1,1588927383,1,4,1,0.99669349193573,0.8529692200513986
4,1,1588927383,1,4,2,0.9572595357894897,0.8252272330797635
4,1,1588927383,1,4,3,0.9172965288162231,0.7961983038828924
4,1,1588927383,1,4,4,0.8737459182739258,0.7640405870400943
4,1,1588927383,1,4,5,0.823361873626709,0.7262845497864944
4,1,1588927383,1,4,6,0.7615412473678589,0.6784275403389564
4,1,1588927383,1,4,7,0.6802646517753601,0.6156681386324075
4,1,1588927383,1,4,8,0.5651010274887085,0.5803215228594266
4,1,1588927383,1,4,9,0.4082868695259094,0.8777383199104896
4,1,1588927383,1,4,10,0.3561488091945648,1.1359140139359694
4,1,1588927383,1,4,11,0.38537392020225525,1.203004268499521
4,1,1588927383,1,4,12,0.332370400428772,1.211657239840581
4,1,1588927383,1,4,13,0.2517804503440857,1.1565759778022766
4,1,1588927383,1,4,14,0.1982775628566742,1.0597629317870507
4,1,1588927383,1,4,15,0.18102063238620758,1.022979736328125
4,1,1588927383,1,4,16,0.17829851806163788,1.0651531769679143
4,1,1588927383,1,4,17,0.16741696000099182,1.2015128685877874
4,1,1588927383,1,4,18,0.14462918043136597,1.4433446664076586
4,1,1588927383,1,4,19,0.11554662883281708,1.7891633418890147
4,1,1588927383,1,4,20,0.0938490480184555,2.1392064736439633
4,1,1588927383,1,4,21,0.09258756041526794,2.2019874591093798
4,1,1588927383,1,4,22,0.08908061683177948,2.068129163521987
4,1,1588927383,1,4,23,0.07822350412607193,2.044961608373202
4,1,1588927383,1,4,24,0.06998851150274277,2.2324194724743185
4,1,1588927383,1,4,25,0.06566908210515976,2.4092031442202053
4,1,1588927383,1,4,26,0.06367121636867523,2.287590668751643
4,1,1588927383,1,4,27,0.05522807687520981,2.050548567221715
4,1,1588927383,1,4,28,0.04859291762113571,1.8873870510321398
4,1,1588927383,1,4,29,0.04421013221144676,1.7786970276098986
4,1,1588927383,1,4,30,0.03706074506044388,1.670330863732558
4,1,1588927383,1,4,31,0.029751203954219818,1.5374372188861554
4,1,1588927383,1,4,32,0.026171278208494186,1.3745534190764794
4,1,1588927383,1,4,33,0.022645853459835052,1.2230084263361418
