dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
one-system CV2 train-sim-0,test,63,10,10,-0.46180408353048974,0.3407755581668625,0.0002617034188006073,4.6603422561020125e-06,0.0003122151247225702,66.9940333918119
one-system CV2 train-sim-0,test,64,10,10,-0.4718193183016282,0.110580204778157,0.00020825200772378594,4.530156274995534e-06,0.00026192457880824804,57.81800072857448
one-system CV2 train-sim-0,test,65,10,10,-0.45233128528609773,0.15290666666666666,0.00023197437985800207,4.2292058424209245e-06,0.00028505490627139807,67.40152096929481
one-system CV2 train-sim-0,test,66,10,10,-0.4320360677825569,-0.013677975228863758,9.748922457220033e-05,5.022011464461684e-06,0.00013925346138421446,27.72862275796123
one-system CV2 train-sim-0,test,67,10,10,-0.4448583585820957,-0.2929582028296792,0.00016170683375094086,4.689149136538617e-06,0.00021757087961304933,46.39879715441367
one-system CV2 train-sim-0,test,68,10,10,-0.44576623236492136,-0.14500270124257159,0.00025200669188052416,4.41553174823639e-06,0.0003176783793605864,71.94566758295204
one-system CV2 train-sim-0,test,69,10,10,-0.4506050693911616,-0.017573576116874868,0.00025676580844447017,4.2767287595779635e-06,0.00031940938788466156,74.68544437599114
one-system CV2 train-sim-0,test,70,10,10,-0.4635849390136115,0.1981753941886832,0.00019046863599214703,4.569622433336917e-06,0.00023909815354272723,52.32339367874829
one-system CV2 train-sim-0,test,71,10,10,-0.4635681451490152,-0.3439283238227295,0.00018890485807787627,4.6561967792513315e-06,0.0002493021311238408,53.542009271336255
one-system CV2 train-sim-0,test,72,10,10,-0.43705991456362825,-0.2498942246668077,0.0001577947987243533,5.234465334069682e-06,0.0002155039255740121,41.170188705111265
one-system CV2 train-sim-0,test,73,10,10,-0.46816698548441543,-0.22109994711792702,0.00019983576203230768,4.719953722087666e-06,0.00026144617004320025,55.39168081664176
one-system CV2 train-sim-0,test,74,10,10,-0.46569390608120986,-0.1664554520910243,0.0001817052689148113,4.157969215157209e-06,0.00023597873223479837,56.75336204380153
one-system CV2 train-sim-0,test,75,10,10,-0.4367968430065895,0.18584688019743548,0.0002128421765519306,4.340969553595642e-06,0.0002643682819325477,60.90074548290034
one-system CV2 train-sim-0,test,76,10,10,-0.4561038824349748,0.3463710966641799,0.00028780335560441017,4.637371148419334e-06,0.00034070602850988507,73.46964855854077
one-system CV2 train-sim-0,test,77,10,10,-0.4670034087840057,0.19259693850338686,0.00022703057038597763,4.248712230037199e-06,0.0002782723749987781,65.49569844515963
one-system CV2 train-sim-0,test,78,10,10,-0.4711840479971766,0.07157204778517813,0.00023563081049360335,4.309863015805604e-06,0.0002922613057307899,67.81220300018285
one-system CV2 train-sim-0,train,0,20,20,-0.4602044402340825,-0.36364890974330666,0.00013393154949881136,1.9026365407626145e-05,0.0002451842010486871,12.886549574539991
one-system CV2 train-sim-0,val,0,20,20,-0.4278343614512425,-0.14857946255670212,6.236494664335623e-05,2.2717780666425824e-05,0.00014205936167854816,6.2532235769181
one-system CV2 train-sim-0,val,1,20,20,-0.44927991385885413,0.13331942959931176,0.0001619147224118933,1.84421496669529e-05,0.0002611121453810483,14.158444112886896
one-system CV2 train-sim-0,val,2,20,20,-0.48334830787660976,-0.33547368702678115,0.00014762114733457565,1.9630248061730526e-05,0.0002642467734403908,13.461203985269245
one-system CV2 train-sim-0,val,3,20,20,-0.4642256865738385,0.14155854665120168,0.0001580819662194699,1.678122134762816e-05,0.0002472247288096696,14.7322250084385
one-system CV2 train-sim-0,val,4,20,20,-0.45428171345902413,0.05649087496940191,0.00014791969442740083,1.6598074580542743e-05,0.0002408686705166474,14.511844090579523
one-system CV2 train-sim-0,val,5,20,20,-0.46312795709307325,0.35921784720736144,0.00012563401833176613,1.8408178220852278e-05,0.00018907392222899944,10.27119142158357
one-system CV2 train-sim-0,val,6,20,20,-0.4467258688468104,-0.297578115196386,0.00012402705033309758,2.1868085241294466e-05,0.0002393782342551276,10.946465207804255
one-system CV2 train-sim-0,val,7,20,20,-0.4656225775512081,-0.29167101555161257,0.0002065287553705275,1.837940544646699e-05,0.00033960299333557487,18.477365566841858
