split,sim_idx,final_p_ratio,edge_count,stiffness_mean,stiffness_std,near_zero_stiffness_threshold,near_zero_stiffness_edge_count,near_zero_stiffness_edge_fraction,horizontal_stiffness,vertical_stiffness,diagonal_stiffness,z0,latent_dim,repeat,seed,train_networks,train_frames_per_network,z1
val,19,0.03867895965791973,370,0.5722395051119699,0.2971542953445283,0.001,0,0.0,0.5630166772618026,0.7721010410441802,0.3299919617015357,0.2740626037120819,1,1,414963449,1,2,
val,20,0.27081671507608296,288,0.48149974675228197,0.10885727588047546,0.001,0,0.0,0.4335927641285317,0.5786970466948472,0.41562561980552143,0.3659411370754242,1,1,414963449,1,2,
val,21,0.3453760393512503,369,0.4311291564932361,0.0641529647232169,0.001,0,0.0,0.43328324124730866,0.4295526344861303,0.4300383325843584,0.3678496479988098,1,1,414963449,1,2,
val,22,0.2238599590476573,291,0.4984668247990592,0.1739724142469135,0.001,0,0.0,0.419778968733136,0.6662395521302089,0.3779341939343027,0.36332884430885315,1,1,414963449,1,2,
val,23,-0.08698580311493488,402,0.6274291767995915,0.3606050357695037,0.001,0,0.0,0.637923873771031,0.8094844537225958,0.30832473914376757,0.27781942486763,1,1,414963449,1,2,
val,24,-0.07075996703199396,431,0.5729567577582708,0.33250637842969527,0.001,0,0.0,0.6247759984443652,0.7723335912971763,0.24385975724594158,0.3138282597064972,1,1,414963449,1,2,
val,0,0.3453760393512503,369,0.4311291564932361,0.0641529647232169,0.001,0,0.0,0.43328324124730866,0.4295526344861303,0.4300383325843584,1.796887993812561,1,1,414963651,1,4,
val,1,-0.3112050286983445,285,0.646844059464753,0.3851650277457816,0.001,26,0.0912280701754386,0.6739886870967864,0.8103027855035073,0.3169957197029869,3.5375778675079346,1,1,414963651,1,4,
val,2,-0.21109366287007186,426,0.639748255551496,0.3864058568792369,0.001,25,0.05868544600938967,0.7018413901017347,0.7992944139337851,0.32306518170957427,3.2817955017089844,1,1,414963651,1,4,
val,3,-0.22730985066006476,344,0.6164149622608694,0.4074566997822289,0.001,28,0.08139534883720931,0.6047307522614546,0.8027007563272491,0.37943855369161134,3.1028811931610107,1,1,414963651,1,4,
val,4,0.15031615373850205,460,0.49904350876484227,0.2154192835472766,0.001,0,0.0,0.4836909214389466,0.6638211606220267,0.2779242142529811,2.2512412071228027,1,1,414963651,1,4,
val,5,-0.30467685297745023,366,0.6195101412025896,0.383277332991951,0.001,0,0.0,0.6980740771982539,0.8035342104348738,0.21101630356214526,3.3153250217437744,1,1,414963651,1,4,
val,6,-0.1466582167541242,346,0.6293360523766098,0.3929297287992663,0.001,4,0.011560693641618497,0.676760875461667,0.8099627976327957,0.32364990757877365,3.3175652027130127,1,1,414963651,1,4,
val,7,0.18183670511140954,431,0.4623723167001233,0.17249006373190467,0.001,0,0.0,0.4304451608767539,0.5924663209581967,0.31526008972497743,2.05367374420166,1,1,414963651,1,4,
val,8,0.26937916888526336,422,0.5059345270290759,0.14757809260554877,0.001,0,0.0,0.4279926283450066,0.6498972171810782,0.4097913273862589,2.322444200515747,1,1,414963651,1,4,
val,9,-0.2124182814927736,482,0.6209111575758074,0.39374353742023444,0.001,22,0.04564315352697095,0.6798692365121984,0.7875438080918284,0.27638548798418894,3.3959834575653076,1,1,414963651,1,4,
val,10,0.0729596003150843,480,0.5591510358344143,0.2720010240060662,0.001,0,0.0,0.5739857495593076,0.7423434635076452,0.3072583319535896,2.748417377471924,1,1,414963651,1,4,
val,11,-0.2879174109079594,313,0.6324788499084233,0.3783637605864846,0.001,0,0.0,0.7080232602793017,0.783262993628544,0.27710999473531145,3.2241671085357666,1,1,414963651,1,4,
val,12,-0.32336614357869486,513,0.6332109144684127,0.3854094552082523,0.001,0,0.0,0.7254116046953494,0.8133976339307484,0.2770710728347669,3.383697271347046,1,1,414963651,1,4,
