repeat,train_networks,train_frames_per_network,split,signal,target,pearson_r,corr_r2,n
1,2,2,val,horizontal_stiffness,final_p_ratio,-0.9078952645597564,0.8242738114100301,25
1,2,2,val,vertical_stiffness,final_p_ratio,-0.8787294237364012,0.7721654001401077,25
1,2,2,val,diagonal_stiffness,final_p_ratio,0.5490018323618459,0.3014030119366643,25
1,2,4,val,stiffness_mean,final_p_ratio,-0.899309712993137,0.8087579598837984,25
1,2,4,val,stiffness_std,final_p_ratio,-0.9588056294772718,0.9193082351173074,25
1,2,4,val,horizontal_stiffness,final_p_ratio,-0.9078751395614841,0.8242372690337842,25
1,2,4,val,vertical_stiffness,final_p_ratio,-0.8604934452154828,0.7404489692588111,25
1,2,4,val,diagonal_stiffness,final_p_ratio,0.16129997138700544,0.026017680769448773,25
1,4,1,val,stiffness_mean,final_p_ratio,-0.8647583520746898,0.747807007482933,25
1,4,1,val,stiffness_std,final_p_ratio,-0.9477506736290423,0.8982313393643034,25
1,4,1,val,horizontal_stiffness,final_p_ratio,-0.9159458090578289,0.8389567251306007,25
1,4,1,val,vertical_stiffness,final_p_ratio,-0.7931166521149255,0.6290340238619878,25
1,4,1,val,diagonal_stiffness,final_p_ratio,0.4203127886906626,0.17666284033692156,25
1,4,2,val,stiffness_mean,final_p_ratio,-0.8930428990741308,0.7975256195867282,25
1,4,2,val,stiffness_std,final_p_ratio,-0.9534048504420722,0.9089808088464701,25
1,4,2,val,horizontal_stiffness,final_p_ratio,-0.9373749386526947,0.8786717756141432,25
1,4,2,val,vertical_stiffness,final_p_ratio,-0.8404441027180709,0.7063462897935833,25
1,4,2,val,diagonal_stiffness,final_p_ratio,0.3930312158072718,0.15447353659894225,25
1,4,4,val,stiffness_mean,final_p_ratio,-0.9240673282267743,0.853900427096169,25
1,4,4,val,stiffness_std,final_p_ratio,-0.9677042779907301,0.9364515696415603,25
1,4,4,val,horizontal_stiffness,final_p_ratio,-0.9814484299537434,0.9632410206586679,25
1,4,4,val,vertical_stiffness,final_p_ratio,-0.8493408832254496,0.7213799359181869,25
1,4,4,val,diagonal_stiffness,final_p_ratio,0.6735030670685396,0.4536063813507297,25
