dataset,split,sim_idx,target_index,rollout_steps,pred_p_ratio,true_p_ratio,final_pos_mse,initial_to_target_mse,pred_to_initial_mse,movement_fraction_mse
Reid_ld4_tok16_h128_head2,test,32,20,20,0.10472849941540643,0.17312808327091458,3.0274113669293e-06,1.8908578567788936e-05,3.040469891857356e-05,1.6079843764865778
Reid_ld4_tok16_h128_head2,test,33,20,20,0.03744246796865282,0.3548760591547813,3.1430867238668725e-05,1.899680501082912e-05,8.829218131722882e-05,4.647738462699275
Reid_ld4_tok16_h128_head2,test,34,20,20,0.33194273067356095,0.2667068504638608,3.56342434315593e-06,1.9043105567106977e-05,3.1573956221109256e-05,1.6580255835816364
Reid_ld4_tok16_h128_head2,test,35,20,20,0.007539236652288956,0.3580841492458322,5.109930043545319e-06,1.879870796983596e-05,2.9522363547584973e-05,1.5704464155172781
Reid_ld4_tok16_h128_head2,test,36,20,20,-0.11904103273397879,0.033857738335350274,3.0119792882032925e-06,1.7153057342511602e-05,1.8621954950504005e-05,1.0856347401318325
Reid_ld4_tok16_h128_head2,test,37,20,20,-0.14988334591367597,0.2568970553092058,8.004171831998974e-06,1.7985199519898742e-05,3.3704942325130105e-05,1.8740377212851662
Reid_ld4_tok16_h128_head2,val,0,30,30,0.34434365646570153,0.3660380715175236,2.8341557936073514e-06,4.1925486584659666e-05,5.355156463338062e-05,1.2773033540170022
Reid_ld4_tok16_h128_head2,val,1,30,30,-0.02017200756740445,-0.34588982027665666,1.5041181541164406e-05,4.705400351667777e-05,7.487276161555201e-05,1.5912091643597168
Reid_ld4_tok16_h128_head2,val,2,30,30,0.053636934948774535,0.2710513385138947,5.360352588468231e-06,3.871816079481505e-05,5.526174936676398e-05,1.427282397519367
Reid_ld4_tok16_h128_head2,val,3,30,30,0.13037839487335978,-0.08918333100265698,1.0995770026056562e-05,4.269105556886643e-05,5.2067891374463215e-05,1.219644037390237
Reid_ld4_tok16_h128_head2,val,4,30,30,-0.02962383879042922,-0.3152563110639293,4.523875759332441e-05,4.448948675417341e-05,0.00015236559556797147,3.424755075505081
Reid_ld4_tok16_h128_head2,val,5,30,30,0.04461288201294431,0.14814356872858303,4.457203431229573e-06,4.002342757303268e-05,3.591688800952397e-05,0.8973966046257457
Reid_ld4_tok16_h128_head2,val,6,30,30,-0.2594471681497352,-0.29455091533180777,1.7523931092000566e-05,4.691258436650969e-05,7.239410479087383e-05,1.543170255240832
Reid_ld4_tok16_h128_head2,val,7,30,30,0.22366664547708345,-0.4587710130551078,3.062397809117101e-05,5.245630381978117e-05,5.386622797232121e-05,1.0268780689806887
Reid_ld4_tok16_h128_head2,val,8,30,30,0.06007043832689188,0.35158680771624146,6.823294825153425e-06,4.3878320866497234e-05,5.954744483460672e-05,1.3571040016728046
Reid_ld4_tok16_h128_head2,val,9,30,30,0.045464178239923145,-0.0328241450393784,4.863645699515473e-06,4.276962499716319e-05,5.579212665907107e-05,1.3044801459627395
Reid_ld4_tok16_h128_head2,val,10,30,30,-0.23780142153228973,-0.5189528872326045,1.1567938599910121e-05,4.9608734116191044e-05,2.21348054765258e-05,0.4461876697898154
Reid_ld4_tok16_h128_head2,val,11,30,30,-0.1061577589912595,-0.22415211026678508,1.130129567172844e-05,4.6698249207111076e-05,3.8415546441683546e-05,0.8226335482366165
Reid_ld4_tok16_h128_head2,val,12,30,30,-0.21242653232577666,-0.46952686447473935,8.300663466798142e-06,4.635630830307491e-05,3.9687751268502325e-05,0.856145640611113
Reid_ld4_tok16_h128_head2,val,13,30,30,-0.13894653465346535,-0.054488393485201014,6.171817858557915e-06,4.32245506090112e-05,4.715499744634144e-05,1.090930889551246
Reid_ld4_tok16_h128_head2,val,14,30,30,-0.08582192215708269,0.27324396782841825,1.9733148292289115e-05,3.970718535128981e-05,8.570887439418584e-05,2.15852303898951
Reid_ld4_tok16_h128_head2,val,15,30,30,-0.017643474407267892,-0.07685932545402133,5.990495537844254e-06,3.914353146683425e-05,5.134550156071782e-05,1.3117237928371928
Reid_ld4_tok16_h128_head2,val,16,30,30,-0.03290741666071811,-0.30698760553260285,1.275696195079945e-05,4.2465740989428014e-05,7.071917207213119e-05,1.6653229267737717
Reid_ld4_tok16_h128_head2,val,17,30,30,0.04301613522217217,-0.620273184759166,1.9940955098718405e-05,5.507973037310876e-05,4.077632547705434e-05,0.7403145440407297
Reid_ld4_tok16_h128_head2,val,18,30,30,-0.10243055555555555,0.13619523775267967,5.4011857173463795e-06,3.877856215694919e-05,2.757474430836737e-05,0.7110821746500966
Reid_ld4_tok16_h128_head2,val,19,30,30,0.2244940146204875,-0.4618821862568797,2.0720735847135074e-05,4.655583688872866e-05,3.380998532520607e-05,0.726224413192572
Reid_ld4_tok16_h128_head2,test,0,30,30,-0.04595222803315289,-0.056849670164649514,5.246803084446583e-06,3.982577254646458e-05,4.5308985136216506e-05,1.1376800056635357
Reid_ld4_tok16_h128_head2,test,1,30,30,-0.16233967195075824,-0.006996741975110826,5.04721265315311e-06,3.77642318198923e-05,3.336784357088618e-05,0.883583273453736
Reid_ld4_tok16_h128_head2,test,2,30,30,-0.09289493231464217,0.11879854997410667,5.261403657641495e-06,4.342473766882904e-05,4.6977012971183285e-05,1.0818030342392633
Reid_ld4_tok16_h128_head2,test,3,30,30,0.09210341346215287,0.13495829989182398,6.036062131897779e-06,4.1138082451652735e-05,6.77270072628744e-05,1.6463335971595205
Reid_ld4_tok16_h128_head2,test,4,30,30,-0.0582782250814137,0.36401015409918125,2.449203748255968e-05,4.143885598750785e-05,9.617674368200824e-05,2.3209314395890095
Reid_ld4_tok16_h128_head2,test,5,30,30,-0.055967841682127394,0.04094213534561655,4.351146799308481e-06,4.1524959669914097e-05,3.723430563695729e-05,0.8966728910259364
Reid_ld4_tok16_h128_head2,test,6,30,30,0.18750261933699341,0.3616047484535345,4.862261448579375e-06,4.090946458745748e-05,6.201821088325232e-05,1.5159868629096314
Reid_ld4_tok16_h128_head2,test,7,30,30,0.16104529700877923,0.3116718695802983,9.819950719247572e-06,4.2284784285584465e-05,8.292142592836171e-05,1.9610227964821594
Reid_ld4_tok16_h128_head2,test,8,30,30,-0.3690294774109136,-0.21253868600229905,1.0354442565585487e-05,4.753290340886451e-05,5.5187101679621264e-05,1.161029470573626
